date,home,away,open_rl,open_books,close_rl,close_books
2025-03-18,CHC,LAD,-1.50,9,-1.50,9
2025-03-19,CHC,LAD,-2.50,3,-2.50,3
2025-03-27,NYY,MIL,1.50,10,1.50,10
2025-03-27,TOR,BAL,-1.50,10,-1.50,10
2025-03-27,TEX,BOS,-1.50,10,-1.50,10
2025-03-27,WSH,PHI,-1.50,10,-1.50,10
2025-03-27,KC,CLE,1.50,10,1.50,10
2025-03-27,HOU,NYM,1.50,10,1.50,10
2025-03-27,CIN,SF,1.50,10,1.50,10
2025-03-27,SD,ATL,-1.50,10,-1.50,10
2025-03-27,CWS,LAA,-1.50,10,-1.50,10
2025-03-27,MIA,PIT,-1.50,10,-1.50,10
2025-03-27,STL,MIN,-1.50,10,-1.50,10
2025-03-27,LAD,DET,1.50,10,1.50,10
2025-03-28,AZ,CHC,1.50,10,1.50,10
2025-03-28,SEA,ATH,1.50,10,1.50,10
2025-03-28,TB,COL,1.50,10,1.50,10
2025-03-28,TOR,BAL,1.50,10,1.50,10
2025-03-28,MIA,PIT,-1.50,10,-1.50,10
2025-03-29,TEX,BOS,1.50,10,1.50,10
2025-03-29,HOU,NYM,1.50,10,1.50,10
2025-03-29,AZ,CHC,1.50,10,1.50,10
2025-03-29,SEA,ATH,1.50,10,1.50,10
2025-03-29,SD,ATL,-1.50,10,-1.50,10
2025-03-29,LAD,DET,1.50,10,1.50,10
2025-03-29,NYY,MIL,1.50,10,1.50,10
2025-03-29,CWS,LAA,-1.50,10,-1.50,10
2025-03-29,STL,MIN,-1.50,10,-1.50,10
2025-03-29,TOR,BAL,1.50,10,1.50,10
2025-03-29,WSH,PHI,-1.50,10,-1.50,10
2025-03-29,KC,CLE,1.50,10,1.50,10
2025-03-29,CIN,SF,1.50,10,0.00,10
2025-03-29,TB,COL,1.50,10,1.50,10
2025-03-29,MIA,PIT,-1.50,10,-1.50,10
2025-03-29,TEX,BOS,1.50,10,1.50,10
2025-03-29,HOU,NYM,1.50,10,1.50,10
2025-03-29,SD,ATL,-1.50,10,-1.50,10
2025-03-30,AZ,CHC,1.50,10,1.50,10
2025-03-30,LAD,DET,,0,,0
2025-03-30,SEA,ATH,1.50,10,1.50,10
2025-03-30,WSH,PHI,-1.50,10,-1.50,10
2025-03-30,NYY,MIL,1.50,10,1.50,10
2025-03-30,TOR,BAL,1.50,10,1.50,10
2025-03-30,CIN,SF,-1.50,10,-1.50,10
2025-03-30,TB,COL,1.50,10,1.50,10
2025-03-30,MIA,PIT,-1.50,10,-1.50,10
2025-03-30,KC,CLE,-1.50,10,0.00,10
2025-03-30,CWS,LAA,-1.50,10,-1.50,10
2025-03-30,STL,MIN,-1.50,10,-1.50,10
2025-03-30,TEX,BOS,1.50,10,1.50,10
2025-03-30,AZ,CHC,1.50,10,1.50,10
2025-03-30,SEA,ATH,1.50,10,1.50,10
2025-03-30,SD,ATL,1.50,10,1.50,10
2025-03-31,CWS,MIN,-1.50,10,-1.50,10
2025-03-31,MIL,KC,0.00,10,1.50,10
2025-03-31,BAL,BOS,1.50,10,1.50,10
2025-03-31,PHI,COL,1.50,10,1.50,10
2025-03-31,CIN,TEX,-1.50,10,-1.50,10
